Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,806233774999999"
6810,1,"0,999","0,943313","1,49981","0,947867","0,0383886","0,0042654","0,00947867",,
6820,1,"0,999","0,94073","1,5373","0,943841","0,0424729","0,00424729","0,00943841",,
6830,1,"0,999","0,938257","1,54595","0,941176","0,0447059","0,00329412","0,0108235",,
6840,1,"0,999","0,937508","1,49056","0,939408","0,0455613","0,00140911","0,0136214",,
6850,1,"0,999","0,934282","1,50769","0,948317","0,0374585","0,00189663","0,0123281",,
6860,1,"0,999","0,931422","1,48654","0,941176","0,048","0,000470588","0,0103529",,
6870,1,"0,999","0,927455","1,4868","0,948317","0,0341394","0,00189663","0,0156472",,
6880,1,"0,999","0,925299","1,49042","0,944733","0,0415683","0,00188947","0,0118092",,
6890,1,"0,999","0,9244","1,50978","0,936768","0,0482436","0,000936768","0,0140515",,
6900,1,"0,999","0,921783","1,47715","0,944733","0,0415683","0,00236183","0,0113368",,
6910,1,"0,999","0,919854","1,47336","0,952381","0,037619","0,00238095","0,00761905",,
6920,1,"0,999","0,917519","1,46868","0,948317","0,0365102","0,00142248","0,0137506",,
6930,1,"0,999","0,915328","1,47116","0,944287","0,0424929","0,000944287","0,0122757",,
6940,1,"0,999","0,910885","1,48728","0,937647","0,0459447","0,00234412","0,0140647",,
6950,1,"0,999","0,908766","1,48069","0,935454","0,0467727","0,00140318","0,0163704",,
6960,1,"0,999","0,904051","1,46284","0,942951","0,0372466","0,00471476","0,0150872",,
6970,1,"0,999","0,900065","1,463","0,937207","0,0501406","0,00187441","0,0107779",,
6980,1,"0,999","0,896616","1,48214","0,943396","0,040566","0,00235849","0,0136792",,
6990,1,"0,999","0,893726","1,45322","0,942063","0,0423928","0,00235516","0,0131889",,
7000,1,"0,999","0,888383","1,46248","0,937207","0,0482662","0,000468604","0,0140581",,
7010,1,"0,999","0,886213","1,46897","0,944733","0,0392064","0,00236183","0,0136986",,
7020,1,"0,999","0,883699","1,46622","0,931532","0,049837","0,0013973","0,0172333",,
7030,1,"0,999","0,881502","1,43305","0,946522","0,0392806","0,000473261","0,0137246",,
7040,1,"0,999","0,878533","1,44058","0,935016","0,0490884","0,00233754","0,0135577",,
7050,1,"0,999","0,875918","1,45274","0,93633","0,0449438","0,00234082","0,0163858",,
7060,1,"0,999","0,872115","1,44161","0,931099","0,0484171","0,0018622","0,018622",,
7070,1,"0,999","0,868756","1,432","0,931966","0,0503262","0,00372787","0,0139795",,
7080,1,"0,999","0,864581","1,44506","0,940291","0,041843","0,00282087","0,0150447",,
7090,1,"0,999","0,860419","1,45923","0,936768","0,0473068","0,000936768","0,0149883",,
7100,1,"0,999","0,855254","1,41566","0,938527","0,042703","0,00234632","0,0164242",,
7110,1,"0,999","0,85054","1,4472","0,938086","0,0422139","0,00140713","0,0182927",,
7120,1,"0,999","0,847176","1,40008","0,93985","0,0404135","0,0018797","0,0178571",,
7130,1,"0,999","0,84164","1,42334","0,93633","0,0458801","0,00140449","0,0163858",,
7140,1,"0,999","0,837162","1,43364","0,933707","0,0466853","0,00233427","0,0172736",,
7150,1,"0,999","0,833024","1,42487","0,922084","0,054403","0,00276625","0,0207469",,
