Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
7370	7	3.26615	0.932734	2.31732	0.943841	0.0287872	0.0023596	0.0250118	0.00637677
7380	7	3.63705	0.933271	2.23376	0.951928	0.0237982	0.00285578	0.0214184	0.00658619
7390	7	3.7221	0.929599	2.43477	0.953289	0.0262154	0.00190658	0.0185891	0.00661564
7400	6	3.51221	0.924207	2.17258	0.947867	0.0308057	0.0014218	0.0199052	0.00657965
7410	6	3.77407	0.922424	2.34149	0.942063	0.0273198	0.00282619	0.0277909	0.00657992
7420	6	3.35412	0.924015	2.19796	0.946522	0.0307619	0.000946522	0.02177	0.00663504
7430	5	3.18395	0.926356	2.27891	0.95648	0.025825	0.00047824	0.0172166	0.00654005
7440	6	3.23448	0.92762	2.39439	0.946522	0.034548	0.000946522	0.0179839	0.00668527
7450	7	3.23029	0.927395	2.28563	0.945626	0.0269504	0.00141844	0.0260047	0.006485
7460	6	3.19711	0.926945	2.29527	0.942951	0.0334748	0.000942951	0.0226308	0.00677919
7470	6	3.2076	0.925615	2.31139	0.951475	0.0256898	0.00333016	0.0195052	0.00677609
7480	5	3.23703	0.923981	2.3391	0.944733	0.0311762	0.00188947	0.0222012	0.00670609
7490	6	3.13792	0.922984	2.20733	0.951928	0.0252261	0.00285578	0.0199905	0.00692784
7500	7	3.26574	0.919425	2.22208	0.944287	0.0278565	0.00188857	0.0259679	0.00675301
7510	7	3.34837	0.918671	2.26369	0.935454	0.0327409	0.00420954	0.0275959	0.00653262
7520	7	3.38695	0.918902	2.12304	0.941176	0.0291765	0.00517647	0.0244706	0.00653284
7530	7	3.70772	0.919223	2.25673	0.939408	0.0295914	0.00375763	0.0272428	0.00641961
7540	7	3.65151	0.922992	2.16429	0.946074	0.0302744	0	0.0236518	0.00643874
7550	6	4.07261	0.928209	2.36177	0.944287	0.0311615	0.00236072	0.0221907	0.00637578
7560	6	4.60007	0.93286	2.3155	0.943396	0.0320755	0.00188679	0.0226415	0.00609733
7570	7	4.36129	0.931385	2.40336	0.937207	0.0309278	0.00187441	0.0299906	0.00610858
7580	6	3.97661	0.932873	2.29077	0.952835	0.0257265	0.00238209	0.0190567	0.00637949
7590	5	3.8679	0.929952	2.17157	0.94697	0.0241477	0.0061553	0.0227273	0.00632794
7600	5	4.00629	0.925743	2.55379	0.944287	0.0306893	0.000944287	0.0240793	0.00625113
7610	6	3.91125	0.925941	2.49741	0.94697	0.0265152	0.00142045	0.0250947	0.00622384
7620	6	3.49772	0.920385	2.14298	0.947867	0.02891	0.00331754	0.0199052	0.0066888
7630	5	3.41986	0.919372	2.22108	0.944733	0.0316486	0.00236183	0.0212565	0.00632894
7640	5	3.06546	0.918203	2.28268	0.942507	0.0362865	0.00235627	0.0188501	0.00677908
7650	5	3.08947	0.913741	2.20749	0.943841	0.0302029	0.00283152	0.0231241	0.0067726
7660	6	3.22316	0.91287	2.1005	0.941176	0.0310588	0.00470588	0.0230588	0.00674793
7670	6	3.19099	0.909929	2.31375	0.936768	0.0327869	0.0028103	0.0276347	0.00661276
7680	6	3.31143	0.911688	2.30086	0.951022	0.0275796	0.00237756	0.0190204	0.00667619
7690	8	3.46186	0.906612	2.40642	0.946074	0.0307474	0.00283822	0.0203406	0.0065998
7700	8	3.42353	0.910228	2.42337	0.937647	0.0323488	0.00328176	0.0267229	0.00662179
7710	8	3.40763	0.909545	2.48817	0.94697	0.0274621	0.00142045	0.0241477	0.00654815
7720	9	3.58165	0.909357	2.22361	0.93985	0.0333647	0.0037594	0.0230263	0.00658041
7730	10	3.05582	0.909424	2.24332	0.945626	0.0274232	0.00378251	0.0231678	0.00660074
7740	9	2.85356	0.907696	2.07878	0.947867	0.0260664	0.00236967	0.0236967	0.00689734
7750	10	2.73094	0.90595	2.37907	0.938086	0.032833	0.00281426	0.0262664	0.00692081
7760	10	2.69533	0.901619	2.03152	0.944733	0.0292867	0.00236183	0.0236183	0.0071022
7770	10	2.87583	0.899692	2.12821	0.94518	0.0349716	0.00047259	0.0193762	0.00683003
7780	9	3.27638	0.904379	2.37071	0.942063	0.0339143	0.00188413	0.0221385	0.0065212
7790	9	3.33146	0.901256	2.23552	0.942063	0.0315591	0.00518135	0.0211964	0.00681181
7800	9	3.36717	0.901734	2.1785	0.938086	0.032364	0.00375235	0.0257974	0.00661178
7810	9	4.19553	0.901168	2.2866	0.948767	0.0232448	0.00142315	0.0265655	0.00659239
7820	9	4.78353	0.906005	2.28088	0.944287	0.0254958	0.00377715	0.02644	0.0062884
7830	9	4.89383	0.907401	2.39034	0.943396	0.0311321	0.00518868	0.020283	0.00619552
7840	9	5.19523	0.907883	2.26279	0.940291	0.0249177	0.00376117	0.0310296	0.00635278
7850	8	5.33889	0.914072	2.31995	0.93985	0.031485	0.00422932	0.0244361	0.00611879
7860	8	5.56842	0.920273	2.48042	0.947418	0.0279488	0.00236855	0.0222643	0.00610422
7870	8	5.63826	0.918412	2.58027	0.93985	0.0338346	0.0018797	0.0244361	0.00611156
7880	7	5.59995	0.91909	2.29963	0.951022	0.0275796	0.000951022	0.020447	0.005996
7890	8	5.16601	0.929452	2.50599	0.946074	0.0316935	0.00331126	0.0189215	0.00598421
7900	8	4.77397	0.91969	2.34486	0.948767	0.022296	0.0028463	0.0260911	0.00615577
7910	7	4.30372	0.912691	2.30691	0.947867	0.0336493	0.0014218	0.0170616	0.00615866
7920	7	4.36453	0.914343	2.34305	0.948767	0.0270398	0.00189753	0.022296	0.0064656
7930	10	4.59444	0.913453	2.28711	0.946522	0.0269759	0.00331283	0.0231898	0.00622036
7940	7	4.45539	0.913258	2.35713	0.942507	0.033459	0.00235627	0.0216777	0.00634028
7950	8	4.63167	0.915065	2.6559	0.944733	0.0250354	0.00377893	0.0264525	0.00627542
7960	7	4.31111	0.921395	2.61017	0.940734	0.0291627	0.0014111	0.0286924	0.00621991
7970	7	4.2548	0.923965	2.41917	0.946074	0.026017	0.00189215	0.026017	0.00624717
7980	7	4.29748	0.921054	2.52469	0.951022	0.0256776	0.000951022	0.022349	0.00626282
7990	8	4.36593	0.918721	2.49924	0.940291	0.0329102	0.00282087	0.0239774	0.00626571
8000	8	4.75411	0.925771	2.45496	0.949217	0.0237304	0.00332226	0.0237304	0.00609083
8010	9	4.73305	0.921353	2.53226	0.949668	0.0237417	0.00237417	0.0242165	0.00597787
8020	7	4.72951	0.918221	2.56117	0.944287	0.0273843	0.00283286	0.0254958	0.00599987
8030	8	4.71322	0.913715	2.3311	0.942951	0.0259312	0.00141443	0.029703	0.00622511
8040	7	4.54451	0.915639	2.31892	0.945626	0.0312057	0.00283688	0.020331	0.0062049
8050	6	4.29853	0.91712	2.20779	0.948767	0.028463	0.00142315	0.0213472	0.00629301
8060	5	3.80754	0.92131	2.26971	0.946074	0.0298013	0.00425733	0.0198675	0.0064367
8070	7	3.80429	0.920012	2.21076	0.943841	0.0339783	0.00377537	0.0184049	0.00647971
8080	5	3.88845	0.915114	2.29286	0.949217	0.0232558	0.00284765	0.0246796	0.00634278
8090	5	3.8628	0.914622	2.30587	0.94518	0.0278828	0.00519849	0.0217391	0.00632869
8100	6	3.91582	0.909702	2.28485	0.939408	0.0328793	0.00234852	0.025364	0.00619218
8110	7	3.86752	0.909992	2.54635	0.946074	0.0288553	0.00331126	0.0217597	0.00631364
8120	8	4.00737	0.907944	2.16854	0.94518	0.0293006	0.00141777	0.0241021	0.00638083
8130	6	3.59941	0.912887	2.41173	0.94518	0.0293006	0.00189036	0.0236295	0.00652722
8140	8	3.75686	0.913175	2.47659	0.947867	0.0246445	0.00189573	0.0255924	0.0064438
8150	7	3.45438	0.913652	2.41233	0.938967	0.02723	0.00422535	0.0295775	0.0064055
8160	7	3.72754	0.910642	2.5402	0.938527	0.0314406	0.00328484	0.026748	0.00634157
8170	6	3.40881	0.916807	2.37301	0.951022	0.0275796	0.00142653	0.0199715	0.00625167
8180	6	3.35764	0.912375	2.54901	0.93985	0.0343045	0.00234962	0.0234962	0.00639299
8190	7	3.39782	0.917709	2.46391	0.93985	0.0352444	0.00140977	0.0234962	0.00652375
8200	9	3.4146	0.916138	2.47369	0.947867	0.0298578	0.00236967	0.0199052	0.00642745
8210	8	3.53075	0.911652	2.56666	0.942507	0.0287465	0.00424128	0.0245052	0.00641465
8220	8	3.70758	0.914701	2.41238	0.952835	0.0233444	0.00190567	0.0219152	0.00627204
8230	8	3.59437	0.910505	2.28308	0.942507	0.0358153	0.00282752	0.0188501	0.00651919
8240	8	3.00067	0.910647	2.24249	0.944733	0.0363722	0.0014171	0.0174776	0.00666944
8250	9	2.66079	0.914112	2.17584	0.946522	0.0288689	0.00283956	0.02177	0.00680031
8260	9	2.7265	0.911541	2.13786	0.948317	0.0284495	0.00284495	0.0203888	0.00673269
8270	7	2.75521	0.910777	2.17383	0.947418	0.0312648	0.00142113	0.0198958	0.00663119
8280	7	2.79235	0.907635	2.38517	0.943396	0.0316038	0.00188679	0.0231132	0.00669146
8290	8	2.58137	0.909135	2.2542	0.935891	0.0350959	0.00421151	0.0248011	0.00664983
8300	7	2.4283	0.910486	2.34163	0.937207	0.0356139	0.00515464	0.0220244	0.00691577
8310	8	2.31445	0.913418	2.1929	0.945626	0.0312057	0.00425532	0.0189125	0.00692469
8320	8	2.20104	0.914463	2.30893	0.94162	0.0348399	0.00235405	0.0211864	0.00706342
8330	8	2.38149	0.912849	2.14203	0.953743	0.0247973	0.00381497	0.0176443	0.00695593
8340	9	2.48506	0.910425	2.26585	0.93985	0.0319549	0.00140977	0.0267857	0.00679442
8350	8	2.35027	0.908535	2.22112	0.95057	0.0280418	0.003327	0.0180608	0.00682588
8360	7	2.34308	0.905459	2.05195	0.953743	0.0257511	0.00190749	0.018598	0.00695461
8370	5	2.51363	0.900699	2.16337	0.945626	0.0321513	0.00283688	0.0193853	0.00704099
