Generation number,Allele number,Frequency,Activity,,Mean Activity
230,452,"0,0050025","0,999241",,"0,966932851066877"
230,454,"0,00150075","0,999236",,"0,966932851066877"
230,455,"0,002001","0,999588",,"0,966932851066877"
230,456,"0,002001","0,999729",,"0,966932851066877"
240,-3,0,"0,979308",,"0,966932851066877"
240,0,"0,561281","0,969691",,"0,966932851066877"
240,17,"0,121561","0,978337",,"0,966932851066877"
240,58,"0,108054","0,979673",,"0,966932851066877"
240,86,"0,034017","0,981825",,"0,966932851066877"
240,156,"0,014007","0,982778",,"0,966932851066877"
240,215,"0,0315158","0,986039",,"0,966932851066877"
240,235,"0,00250125","0,988489",,"0,966932851066877"
240,300,"0,0525263","0,991233",,"0,966932851066877"
240,314,"0,008004","0,992424",,"0,966932851066877"
240,331,"0,0195098","0,99206",,"0,966932851066877"
240,380,"0,0110055","0,99478",,"0,966932851066877"
240,383,"0,00050025","0,99451",,"0,966932851066877"
240,403,"0,00150075","0,995594",,"0,966932851066877"
240,425,"0,00950475","0,996776",,"0,966932851066877"
240,431,"0,0105053","0,997361",,"0,966932851066877"
240,452,"0,0050025","0,998154",,"0,966932851066877"
240,455,"0,00050025","0,998529",,"0,966932851066877"
240,456,"0,002001","0,99853",,"0,966932851066877"
240,459,"0,00250125","0,999105",,"0,966932851066877"
240,463,"0,00150075","0,999315",,"0,966932851066877"
240,472,"0,00150075","0,999744",,"0,966932851066877"
240,475,"0,00050025","0,999845",,"0,966932851066877"
240,478,0,"0,999888",,"0,966932851066877"
240,480,"0,00050025",1,,"0,966932851066877"
250,-3,0,"0,978519",,"0,966932851066877"
250,0,"0,490745","0,969253",,"0,966932851066877"
250,17,"0,143572","0,977796",,"0,966932851066877"
250,58,"0,111056","0,979183",,"0,966932851066877"
250,86,"0,056028","0,980385",,"0,966932851066877"
250,156,"0,00150075","0,981653",,"0,966932851066877"
250,215,"0,0295148","0,984351",,"0,966932851066877"
250,235,"0,00350175","0,987993",,"0,966932851066877"
250,300,"0,0425213","0,990136",,"0,966932851066877"
250,314,"0,0165083","0,99148",,"0,966932851066877"
250,331,"0,0235118","0,991641",,"0,966932851066877"
250,380,"0,0155078","0,993866",,"0,966932851066877"
250,403,"0,004002","0,994531",,"0,966932851066877"
250,425,"0,0185093","0,995743",,"0,966932851066877"
250,431,"0,002001","0,99619",,"0,966932851066877"
250,452,"0,0105053","0,997266",,"0,966932851066877"
250,455,"0,0030015","0,997391",,"0,966932851066877"
250,456,"0,012006","0,997611",,"0,966932851066877"
250,459,"0,002001","0,998114",,"0,966932851066877"
250,481,"0,00050025","0,999096",,"0,966932851066877"
250,483,"0,00050025","0,999026",,"0,966932851066877"
250,485,"0,0010005","0,999145",,"0,966932851066877"
250,490,"0,0010005","0,999425",,"0,966932851066877"
250,491,"0,00050025","0,99959",,"0,966932851066877"
250,495,"0,00350175","0,999644",,"0,966932851066877"
250,496,"0,00150075","0,999786",,"0,966932851066877"
