Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,q,,"0,944800765999996"
3300,7,"3,25865","0,923645","2,15958","0,943396","0,0306604","0,00424528","0,0216981","0,0066638",,
3310,5,"3,46278","0,920708","2,18794","0,949217","0,0289511","0,00142383","0,0204082","0,00649328",,
3320,5,"3,65154","0,918444","2,15331","0,944287","0,0302172","0,00236072","0,023135","0,00656773",,
3330,5,"3,48717","0,922068","2,18062","0,93633","0,0355805","0,00140449","0,0266854","0,006499",,
3340,5,"3,44397","0,924081","2,19277","0,948767","0,0317837","0,00237192","0,0170778","0,00663541",,
3350,5,"3,59765","0,921666","2,1664","0,951928","0,0237982","0,00428367","0,0199905","0,00626644",,
3360,5,"3,76239","0,918268","2,15717","0,948317","0,0289237","0,00142248","0,0213371","0,00650643",,
3370,6,"3,72366","0,917568","2,17508","0,95057","0,0327947","0,00095057","0,0156844","0,00653905",,
3380,4,"3,72456","0,914788","2,16635","0,950119","0,0280285","0,0023753","0,0194774","0,00663293",,
3390,4,"3,81818","0,909389","2,2368","0,948317","0,0251304","0,00237079","0,0241821","0,00632694",,
3400,7,"3,77497","0,911046","2,22485","0,943841","0,0311468","0,00141576","0,023596","0,006459",,
3410,5,"3,70343","0,912309","2,1432","0,948317","0,0293978","0,00142248","0,020863","0,00646841",,
3420,4,"3,72458","0,909584","2,47496","0,94518","0,0293006","0,00141777","0,0241021","0,00673465",,
3430,4,"3,62775","0,911653","2,10742","0,943396","0,0349057","0,000943396","0,0207547","0,00647633",,
3440,4,"3,85206","0,903949","2,12297","0,948767","0,0289374","0,00379507","0,0185009","0,00640771",,
3450,5,"3,8838","0,903206","2,13197","0,942951","0,0249882","0,00330033","0,02876","0,0066079",,
3460,4,"3,72729","0,903326","2,08285","0,947418","0,0326859","0,00284225","0,0170535","0,00653032",,
3470,4,"3,59653","0,903752","2,09273","0,958313","0,0263536","0,0033541","0,0119789","0,0065769",,
3480,5,"3,64611","0,902833","2,1003","0,947418","0,0241592","0,00142113","0,0270014","0,006707",,
3490,5,"3,45745","0,905979","2,12203","0,933707","0,0373483","0,00186741","0,0270775","0,00677806",,
3500,4,"3,47216","0,904307","2,10932","0,94518","0,0283554","0,00236295","0,0241021","0,00643179",,
3510,5,"3,34099","0,906388","2,10236","0,942951","0,029703","0,00377181","0,0235738","0,00672671",,
3520,4,"3,16157","0,905877","2,06702","0,945626","0,0345154","0,000945626","0,0189125","0,00666072",,
3530,5,"3,17669","0,901397","2,04314","0,949668","0,031339","0,00189934","0,017094","0,00678614",,
3540,4,"3,08725","0,902802","2,03873","0,944733","0,0344828","0,00188947","0,0188947","0,00698052",,
3550,4,"3,02355","0,903318","2,08185","0,951928","0,0290338","0,00237982","0,0166587","0,00689877",,
3560,6,"2,82842","0,902734","1,99379","0,95057","0,0323194","0,00237643","0,0147338","0,0070018",,
3570,7,"2,77817","0,899922","1,96363","0,95511","0,0281757","0,000477555","0,0162369","0,00709447",,
3580,6,"2,69296","0,899423","1,99469","0,95057","0,0294677","0,00142586","0,0185361","0,00685099",,
3590,5,"2,75175","0,894968","2,0525","0,943396","0,0325472","0,00424528","0,0198113","0,00679146",,
3600,5,"2,83193","0,892937","1,99829","0,947418","0,0288963","0,00331596","0,0203695","0,00693136",,
3610,5,"2,75484","0,889584","1,99095","0,948767","0,0294118","0,00379507","0,0180266","0,00691116",,
3620,6,"2,93559","0,886908","1,9955","0,950119","0,0247031","0,00475059","0,0204276","0,00674245",,
3630,6,"3,01884","0,887076","2,01959","0,940291","0,0314998","0,00235073","0,025858","0,00669284",,
3640,5,"2,79045","0,887537","1,96098","0,952381","0,0252381","0,00190476","0,0204762","0,00713966",,
3650,6,"2,89491","0,886246","1,99379","0,933707","0,0364146","0,00280112","0,0270775","0,0068235",,
3660,5,"2,73073","0,883493","1,98385","0,946074","0,026017","0,00283822","0,025071","0,00701654",,
3670,5,"2,55154","0,883501","1,95507","0,945626","0,0288416","0,00141844","0,0241135","0,00705431",,
3680,6,"2,64145","0,879038","2,00304","0,943396","0,029717","0,00283019","0,0240566","0,00685593",,
3690,5,"2,73015","0,873603","1,97007","0,939408","0,0310005","0,00281822","0,0267731","0,00706079",,
3700,4,"2,86533","0,871595","1,96955","0,94518","0,026465","0,00425331","0,0241021","0,00691941",,
3710,6,"2,87639","0,874205","1,93831","0,952835","0,0281086","0,00190567","0,017151","0,00703891",,
3720,5,"2,72806","0,87362","1,9877","0,93633","0,034176","0,00327715","0,0262172","0,00683711",,
3730,6,"2,68142","0,870418","1,97861","0,932836","0,0363806","0,00326493","0,0275187","0,00693451",,
3740,7,"2,55555","0,864959","1,94502","0,934143","0,0364316","0,00186829","0,0275572","0,00714752",,
3750,6,"2,51813","0,861952","1,96943","0,927644","0,0398887","0,00231911","0,0301484","0,00703996",,
3760,6,"2,51448","0,861738","1,93884","0,937207","0,0370197","0,00140581","0,0243674","0,00708434",,
3770,7,"2,60737","0,862007","1,92401","0,940734","0,0352775","0,00235183","0,0216369","0,00710571",,
3780,7,"2,63282","0,860971","1,92932","0,948317","0,0256046","0,00189663","0,0241821","0,00702881",,
3790,7,"2,58153","0,859806","1,94458","0,937647","0,037037","0,000468823","0,0248476","0,00712954",,
3800,8,"2,66079","0,854931","1,91936","0,943841","0,0268995","0,00424729","0,0250118","0,00721211",,
3810,8,"2,80404","0,854944","1,94958","0,94162","0,0320151","0,00188324","0,0244821","0,007248",,
3820,8,"2,56509","0,853644","2,03741","0,940734","0,0343368","0,00188147","0,023048","0,00732124",,
3830,7,"2,66128","0,855874","1,94947","0,939408","0,0342884","0,00234852","0,0239549","0,00703766",,
3840,8,"2,67222","0,861797","1,95694","0,93633","0,0365169","0,00374532","0,0234082","0,00718185",,
3850,6,"2,34699","0,858255","1,95545","0,943841","0,0325625","0,00188768","0,0217084","0,00732365",,
3860,7,"2,2615","0,85879","1,92492","0,942063","0,029675","0,00235516","0,0259067","0,00734986",,
3870,7,"2,48847","0,859461","1,9555","0,943841","0,029731","0,00188768","0,0245399","0,00724516",,
3880,5,"2,57308","0,857573","1,93941","0,947867","0,0255924","0,00189573","0,0246445","0,0071773",,
3890,7,"2,68744","0,86627","1,99002","0,942063","0,0329722","0,00141309","0,0235516","0,00706961",,
3900,6,"2,65953","0,868894","1,99296","0,943396","0,0301887","0,00283019","0,0235849","0,00718651",,
3910,6,"2,90964","0,880838","2,00601","0,946074","0,026017","0,00283822","0,025071","0,00701438",,
3920,8,"3,04148","0,878553","2,07381","0,940734","0,0286924","0,0042333","0,0263405","0,0069159",,
3930,6,"2,9514","0,873808","2,00797","0,947418","0,0288963","0,000947418","0,022738","0,00721614",,
3940,5,"3,07665","0,873209","2,04027","0,942507","0,031574","0,00282752","0,0230914","0,00688146",,
3950,5,"3,5513","0,879907","2,07219","0,95057","0,0247148","0,00190114","0,0228137","0,00682913",,
3960,5,"3,35611","0,872995","2,04836","0,947418","0,0265277","0,00236855","0,0236855","0,00702527",,
3970,6,"3,87236","0,87337","2,08689","0,93985","0,0328947","0,00422932","0,0230263","0,00666129",,
3980,5,"3,90357","0,881827","2,13954","0,946074","0,0288553","0,00189215","0,0231788","0,0065261",,
3990,5,"3,84259","0,885993","2,11413","0,947418","0,0232117","0,00236855","0,0270014","0,00663954",,
4000,5,"3,93894","0,887721","2,08682","0,943396","0,0287736","0,00235849","0,0254717","0,00643752",,
4010,6,"3,88674","0,898977","2,15993","0,944733","0,0288144","0,00377893","0,0226736","0,00640051",,
4020,5,"3,85391","0,905293","2,17498","0,94518","0,0321361","0,00378072","0,0189036","0,00642854",,
4030,5,"3,80075","0,904618","2,12223","0,94518","0,026465","0,00141777","0,0269376","0,00639372",,
4040,4,"3,76843","0,90443","2,11792","0,95057","0,0313688","0,00237643","0,0156844","0,00640922",,
4050,5,"3,60867","0,907946","2,15264","0,941176","0,0343529","0,00188235","0,0225882","0,00665746",,
4060,4,"3,67169","0,904055","2,16726","0,951475","0,0233111","0,00190295","0,0233111","0,00642911",,
4070,4,"3,43479","0,914596","2,1144","0,948317","0,0336652","0,000948317","0,0170697","0,00659423",,
4080,4,"3,67858","0,904604","2,10394","0,947867","0,0308057","0,000947867","0,0203791","0,00651149",,
4090,5,"3,39068","0,915213","2,11946","0,951022","0,0275796","0,00237756","0,0190204","0,00652543",,
4100,4,"3,33054","0,915484","2,13014","0,942507","0,031574","0,000942507","0,0249764","0,00652108",,
4110,4,"3,24807","0,916823","2,1127","0,948767","0,0265655","0,0028463","0,0218216","0,00658273",,
4120,6,"3,10841","0,920693","2,10019","0,95511","0,0253104","0,00238777","0,017192","0,00672482",,
