Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
2530	5	1.76494	0.699298	1.51197	0.915751	0.0444139	0.00274725	0.0370879	0.00857207
2540	6	1.86925	0.69739	1.54661	0.911993	0.0437756	0.00273598	0.0414957	0.00818695
2550	6	2.19123	0.714444	1.62125	0.903342	0.0451671	0.00271003	0.0487805	0.00769165
2560	4	2.50565	0.726782	1.65837	0.911577	0.0391978	0.00319052	0.0460346	0.00769699
2570	4	2.48503	0.741469	1.67519	0.919963	0.0308188	0.00229991	0.0469181	0.0075331
2580	4	2.51454	0.760998	1.69822	0.925926	0.0310185	0.0037037	0.0393519	0.0074124
2590	4	2.34602	0.772176	1.68834	0.925069	0.0342276	0.0013876	0.0393154	0.00752776
2600	3	2.23364	0.789514	1.6802	0.931099	0.0339851	0.000465549	0.0344507	0.00745149
2610	3	1.98653	0.811429	1.67236	0.928936	0.0385509	0.00232234	0.0301904	0.00761414
2620	3	1.80818	0.815524	1.65148	0.938967	0.0333333	0.00375587	0.0239437	0.00765389
2630	3	1.68775	0.822643	1.59055	0.939408	0.0305308	0.00375763	0.0263034	0.0080855
2640	4	1.5431	0.831074	1.57637	0.931966	0.0368127	0.00186393	0.0293569	0.00822138
2650	4	1.36879	0.842476	1.55185	0.935454	0.0406922	0.00140318	0.0224509	0.00847769
2660	3	1.38664	0.835166	1.53974	0.938527	0.0347255	0.00140779	0.0253402	0.00831689
2670	3	1.29321	0.838449	1.51323	0.928505	0.0473538	0.00232126	0.0218199	0.00858206
2680	5	1.28134	0.832875	1.48942	0.935016	0.0388032	0.00140252	0.0247779	0.00848471
2690	4	1.29106	0.825541	1.50233	0.933707	0.0368814	0.00233427	0.0270775	0.00860688
2700	4	1.21893	0.822647	1.44925	0.936768	0.0384075	0.00187354	0.0229508	0.0089342
2710	3	1.14835	0.820425	1.40317	0.94697	0.0293561	0.00331439	0.0203598	0.00883079
2720	3	1.10756	0.817884	1.40179	0.929368	0.044145	0.00139405	0.0250929	0.00913686
2730	4	1.06015	0.814758	1.36893	0.936768	0.0444965	0.000936768	0.0177986	0.00919729
2740	4	1.03578	0.808995	1.34986	0.931099	0.0479516	0.0027933	0.0181564	0.00928571
2750	4	1.04093	0.799365	1.33581	0.935891	0.0374357	0.00280767	0.0238652	0.00929129
2760	3	1.07061	0.788523	1.36656	0.924642	0.0457698	0.00138696	0.0282016	0.00920003
2770	5	1.02645	0.783366	1.43857	0.932836	0.0405784	0.00279851	0.0237873	0.0092782
2780	3	1.0233	0.774352	1.4333	0.923361	0.0480148	0.0023084	0.0263158	0.00947099
2790	3	1.01108	0.763808	1.38143	0.925926	0.0430556	0.00462963	0.0263889	0.00958803
2800	1	0.999	0.75168	1.32413	0.918695	0.0509876	0.00367478	0.0266422	0.00969679
2810	3	1.00401	0.742527	1.36839	0.930233	0.0455814	0.00186047	0.0223256	0.00986423
2820	1	0.999	0.731991	1.29766	0.915332	0.0530892	0.002746	0.028833	0.0096065
2830	3	1.00301	0.722353	1.25814	0.914913	0.0544373	0.00228728	0.0283623	0.00971149
