Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
7420	5	2.72393	0.73022	1.95006	0.970403	0	0	0.0295973	0.862683
7430	6	3.02729	0.733018	2.04095	0.960154	0	0.00384061	0.0360058	0.868015
7440	7	3.31558	0.745423	2.08641	0.968054	0	0.00338819	0.0285576	0.892578
7450	8	3.21699	0.745688	2.08683	0.971817	0	0.00194363	0.0262391	0.875826
7460	7	3.0752	0.742876	2.01514	0.977995	0	0.000488998	0.0215159	0.882398
7470	7	3.15985	0.73982	2.01707	0.966184	0	0.00144928	0.0323671	0.876301
7480	6	3.18616	0.745148	2.0686	0.969462	0	0.000969462	0.0295686	0.867997
7490	5	3.04143	0.742242	2.02029	0.967586	0	0.00241896	0.0299952	0.877316
7500	4	2.75453	0.748239	1.95765	0.971817	0	0.00291545	0.0252672	0.887248
7510	4	2.79978	0.753932	2.02633	0.962464	0	0.00433109	0.033205	0.887456
7520	6	2.80235	0.758929	2.01651	0.977517	0	0.00293255	0.0195503	0.882585
7530	6	2.42801	0.773036	2.00441	0.970874	0	0.00242718	0.026699	0.881996
7540	6	2.4812	0.76949	2.01871	0.974184	0	0.00340964	0.0224062	0.905097
7550	6	2.67242	0.762503	2.01091	0.968523	0	0.00193705	0.02954	0.89336
7560	8	2.52149	0.760344	2.03602	0.974184	0	0.00194837	0.0238675	0.900163
7570	10	2.41959	0.762179	1.9724	0.974659	0	0.000974659	0.0243665	0.895579
7580	7	2.25684	0.753376	1.91036	0.972763	0	0.00243191	0.0248054	0.88931
7590	8	2.48316	0.749084	1.99147	0.969462	0	0.00242365	0.0281144	0.8828
7600	6	2.41727	0.744223	2.00139	0.969462	0	0.00242365	0.0281144	0.880446
7610	4	2.46622	0.733975	1.94212	0.97561	0	0.00195122	0.022439	0.863406
7620	6	2.61422	0.720954	1.90969	0.969932	0	0.000969932	0.029098	0.84626
7630	5	2.46481	0.71828	1.92486	0.970874	0	0.0038835	0.0252427	0.84614
7640	4	2.40454	0.715974	1.9752	0.958773	0	0.00431448	0.0369128	0.839001
7650	5	2.15941	0.714852	1.8625	0.963855	0	0.00337349	0.0327711	0.831805
7660	5	2.2831	0.711944	1.89527	0.962927	0	0.00144439	0.0356283	0.834936
7670	4	2.20082	0.709298	1.87785	0.967118	0	0.00145068	0.0314313	0.826045
7680	4	2.21214	0.704124	1.84275	0.964785	0	0.00241196	0.0328027	0.816424
7690	5	2.2676	0.695111	1.84445	0.963855	0	0.000963855	0.0351807	0.817147
7700	4	2.17201	0.694454	1.83777	0.96432	0	0.00096432	0.0347155	0.8203
7710	3	2.06317	0.692102	1.76268	0.964785	0	0.00289436	0.0323203	0.812319
7720	3	2.06069	0.686542	1.78007	0.95648	0	0.00143472	0.0420851	0.818185
7730	2	1.99481	0.681448	1.73811	0.962001	0	0.002886	0.035113	0.803164
7740	3	1.9126	0.680885	1.71305	0.958773	0	0.00239693	0.0388303	0.784813
7750	2	1.8778	0.673159	1.69173	0.971345	0	0.000971345	0.0276833	0.785498
7760	2	1.77326	0.6679	1.87243	0.955566	0	0.00334448	0.0410893	0.785615
7770	3	1.68784	0.659958	1.62809	0.960615	0	0.00240154	0.0369837	0.773072
7780	3	1.65805	0.65253	1.74934	0.957396	0	0.00335089	0.0392532	0.767447
7790	2	1.63019	0.646203	1.67886	0.953743	0	0.000953743	0.0453028	0.766518
7800	2	1.68499	0.636747	1.57007	0.947867	0	0.00236967	0.049763	0.765103
