Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
1490	6	3.16477	0.828311	2.14586	0.932836	0.0373134	0.000932836	0.0289179	0.0072387
1500	6	3.37708	0.832001	2.2844	0.932836	0.0345149	0.00233209	0.0303172	0.00696552
1510	6	3.03926	0.849873	2.333	0.945626	0.0269504	0.000945626	0.0264775	0.00708643
1520	6	2.9319	0.845845	2.09692	0.946522	0.0283956	0.00283956	0.0222433	0.00724599
1530	4	2.76469	0.852691	2.16557	0.942507	0.0329877	0.00188501	0.0226202	0.00704441
1540	5	2.68863	0.852156	2.14249	0.946522	0.0283956	0.00331283	0.02177	0.00712057
1550	4	2.50067	0.855178	2.08266	0.938967	0.029108	0.00328638	0.0286385	0.00711867
1560	5	2.51897	0.863449	2.01504	0.94518	0.0297732	0.00378072	0.0212665	0.00733464
1570	6	2.35086	0.873974	2.14759	0.94518	0.0293006	0.00189036	0.0236295	0.00722186
1580	7	2.19429	0.880118	2.2367	0.937207	0.0384255	0.00234302	0.0220244	0.00746396
1590	6	1.8367	0.897334	1.89212	0.943841	0.0339783	0.00377537	0.0184049	0.00785823
1600	5	1.76583	0.901618	2.08519	0.94697	0.0340909	0.00189394	0.0170455	0.00772661
1610	6	1.74511	0.900377	1.85245	0.941176	0.0334118	0.00517647	0.0202353	0.00802453
1620	5	1.7572	0.905493	1.87606	0.942063	0.0348563	0.00423928	0.0188413	0.00783421
1630	5	2.00251	0.907331	2.08873	0.948767	0.0294118	0.0028463	0.0189753	0.00740701
1640	6	1.90816	0.902625	2.14952	0.948767	0.0308349	0.0028463	0.0175522	0.00763466
1650	5	2.07756	0.897595	2.08187	0.942063	0.0372115	0.00188413	0.0188413	0.00770646
1660	5	1.75708	0.903768	1.93333	0.949217	0.0322734	0.00237304	0.0161367	0.00792799
1670	5	1.6145	0.906911	1.84161	0.952381	0.0304762	0.00238095	0.0147619	0.00805218
1680	5	1.56381	0.9026	2.03384	0.942507	0.0386428	0.00282752	0.0160226	0.00811764
1690	6	1.55183	0.903557	1.95172	0.940291	0.0357311	0.00188058	0.0220969	0.00817005
1700	7	1.42159	0.906489	1.95461	0.943396	0.0391509	0.00188679	0.015566	0.00847415
1710	4	1.37887	0.907517	1.8795	0.941176	0.04	0.00188235	0.0169412	0.00844456
1720	6	1.43477	0.906452	2	0.941176	0.0381176	0.00329412	0.0174118	0.00851831
