Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
3530	4	1.79994	0.736214	1.53677	0.915751	0.0338828	0.000915751	0.0494505
3540	4	2.13749	0.740906	1.57693	0.908265	0.0408719	0.00227066	0.0485922
3550	4	2.35679	0.748883	1.65209	0.908678	0.0313494	0.00454339	0.0554294
3560	4	2.65704	0.75609	1.64965	0.919118	0.0321691	0.00137868	0.0473346
3570	6	2.84711	0.780091	1.71652	0.924214	0.0309612	0.000924214	0.0439002
3580	6	2.78178	0.786037	1.72576	0.931532	0.0307406	0.00232883	0.0353982
3590	5	2.56435	0.800177	1.70656	0.927644	0.0329314	0.00231911	0.0371058
3600	5	2.20117	0.816894	1.68931	0.91659	0.0352887	0.00504125	0.0430797
3610	5	1.83766	0.831102	1.65218	0.933271	0.0349977	0.000933271	0.0307979
3620	4	1.61437	0.838996	1.58467	0.934579	0.038785	0.00140187	0.0252336
3630	4	1.60244	0.834296	1.57865	0.931966	0.0368127	0.00139795	0.0298229
3640	5	1.33668	0.847847	1.51701	0.937207	0.0342081	0.00187441	0.0267104
3650	5	1.20117	0.850517	1.46101	0.931099	0.038175	0.0018622	0.0288641
3660	5	1.12662	0.850198	1.4281	0.934143	0.0429706	0.000934143	0.0219524
3670	5	1.13634	0.845853	1.44492	0.924214	0.042976	0.00231054	0.0304991
3680	5	1.15085	0.842127	1.44312	0.928505	0.0436397	0.000928505	0.0269266
3690	6	1.16371	0.838614	1.46833	0.922509	0.0493542	0.00415129	0.0239852
3700	7	1.14873	0.83412	1.43265	0.932836	0.0419776	0.00186567	0.0233209
3710	6	1.14589	0.826965	1.4381	0.929368	0.0511152	0.00139405	0.0181227
3720	5	1.19982	0.826685	1.47325	0.924642	0.0429958	0.00277393	0.0295885
3730	5	1.24554	0.821615	1.47044	0.9298	0.041841	0.0027894	0.0255695
3740	4	1.2161	0.811687	1.44864	0.935016	0.0374007	0.00187003	0.0257129
3750	6	1.23129	0.803664	1.46982	0.92081	0.0414365	0.00782689	0.0299263
3760	4	1.32581	0.799692	1.47711	0.935454	0.0313377	0.00140318	0.0318054
3770	4	1.20009	0.784115	1.42013	0.918274	0.0417815	0.00275482	0.0371901
